nodes,learning_type,model,max_total_steps,validate_iter,time
2708,unsup,mean,1000,10,13.924395322799683
2708,unsup,maxpool,1000,10,23.76606321334839
2708,unsup,meanpool,1000,10,22.2067391872406
2708,unsup,gcn,1000,10,14.420274496078491
2708,unsup,seq,1000,10,181.3069043159485
2708,sup,mean,1000,10,1.8278977870941162
2708,sup,maxpool,1000,10,1.9742906093597412
2708,sup,meanpool,1000,10,1.9282028675079346
2708,sup,gcn,1000,10,1.5239002704620361
2708,sup,seq,1000,10,7.6039137840271
22470,unsup,mean,1000,10,49.64358186721802
22470,unsup,maxpool,1000,10,63.88515830039978
22470,unsup,meanpool,1000,10,61.50253891944885
22470,unsup,gcn,1000,10,49.47059869766235
22470,unsup,seq,1000,10,289.43688464164734
22470,sup,mean,1000,10,6.582533121109009
22470,sup,maxpool,1000,10,9.284180402755737
22470,sup,meanpool,1000,10,8.85310435295105
22470,sup,gcn,1000,10,6.8921897411346436
22470,sup,seq,1000,10,37.69458270072937
